"event_time_utc","event_timestamp_ms","calendar_ids","events_zh","events_en","actual","forecast","previous","prev_initial","unit","ccy","importance","region","window_start_utc","window_end_exclusive_utc","rows","status","file"
"2026-06-09T14:00:00.000Z","1781013600000","398919","成屋销售量","Existing Home Sales","4.17M","4.07M","4.04M","4.02M","M","","3","United States","2026-06-09T13:30:00.000Z","2026-06-09T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-09T14-00-00-000Z.csv"
"2026-06-10T12:30:00.000Z","1781094600000","398100;398527;398869;398901","核心通胀率环比；通胀率环比；核心通胀率同比；通胀率同比","Core Inflation Rate MoM;Inflation Rate MoM;Core Inflation Rate YoY;Inflation Rate YoY","0.2%;0.5%;2.9%;4.2%","0.3%;0.5%;2.9%;4.2%","0.4%;0.6%;2.8%;3.8%",";;;","%;%;%;%",";;;","3;3;3;3","United States;United States;United States;United States","2026-06-10T12:00:00.000Z","2026-06-10T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-10T12-30-00-000Z.csv"
"2026-06-11T12:30:00.000Z","1781181000000","398657","生产者价格指数环比","PPI MoM","1.1%","0.7%","1.1%","1.4%","%","","3","United States","2026-06-11T12:00:00.000Z","2026-06-11T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-11T12-30-00-000Z.csv"
"2026-06-12T14:00:00.000Z","1781272800000","396028","密歇根大学消费者信心指数初值","Michigan Consumer Sentiment Prel","48.9","46","44.8","","","","3","United States","2026-06-12T13:30:00.000Z","2026-06-12T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-12T14-00-00-000Z.csv"
"2026-06-16T12:30:00.000Z","1781613000000","397979;397981","建筑许可数量初值；新屋开工数量","Building Permits Prel;Housing Starts","1.413M;1.177M","1.42M;1.43M","1.423M;1.392M",";1.465M","M;M",";","3;3","United States;United States","2026-06-16T12:00:00.000Z","2026-06-16T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-16T12-30-00-000Z.csv"
"2026-06-17T12:30:00.000Z","1781699400000","398321","零售销售环比","Retail Sales MoM","0.9%","0.5%","0.4%","0.5%","%","","3","United States","2026-06-17T12:00:00.000Z","2026-06-17T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-17T12-30-00-000Z.csv"
"2026-06-17T18:00:00.000Z","1781719200000","390602;390617","美联储利率决议；联邦公开市场委员会（FOMC）经济预测","Fed Interest Rate Decision;FOMC Economic Projections","3.75%;","3.75%;","3.75%;",";","%;",";","3;3","United States;United States","2026-06-17T17:30:00.000Z","2026-06-17T19:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-17T18-00-00-000Z.csv"
"2026-06-17T18:30:00.000Z","1781721000000","390633","美联储新闻发布会","Fed Press Conference","","","","","","","3","United States","2026-06-17T18:00:00.000Z","2026-06-17T19:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-17T18-30-00-000Z.csv"
"2026-06-25T12:30:00.000Z","1782390600000","398225;398658;398795;398847;399059","国内生产总值（GDP）增长率季环比终值；耐用品订单环比；个人支出环比；核心个人消费支出（PCE）价格指数环比；个人收入环比","GDP Growth Rate QoQ Final;Durable Goods Orders MoM;Personal Spending MoM;Core PCE Price Index MoM;Personal Income MoM","2.1%;-4.5%;0.7%;0.3%;0.7%","1.6%;-4.5%;0.6%;0.3%;0.4%","0.5%;8.5%;0.4%;0.3%;0%",";7.9%;0.5%;0.2%;0%","%;%;%;%;%",";;;;","3;3;3;3;3","United States;United States;United States;United States;United States","2026-06-25T12:00:00.000Z","2026-06-25T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-25T12-30-00-000Z.csv"
"2026-06-30T14:00:00.000Z","1782828000000","398284","职位空缺与劳动力流动调查（JOLTs）职位空缺数","JOLTs Job Openings","7.594M","7.30M","7.585M","7.618M","M","","3","United States","2026-06-30T13:30:00.000Z","2026-06-30T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-06-30T14-00-00-000Z.csv"
"2026-07-01T13:00:00.000Z","1782910800000","420648","美联储主席Warsh讲话","Fed Chair Warsh Speech","","","","","","","3","United States","2026-07-01T12:30:00.000Z","2026-07-01T14:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-01T13-00-00-000Z.csv"
"2026-07-01T14:00:00.000Z","1782914400000","396164","ISM制造业采购经理人指数","ISM Manufacturing PMI","53.3","54","54.0","","","","3","United States","2026-07-01T13:30:00.000Z","2026-07-01T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-01T14-00-00-000Z.csv"
"2026-07-02T12:30:00.000Z","1782995400000","396202;396204","非农就业人数；失业率","Non Farm Payrolls;Unemployment Rate","57K;4.2%","110K;4.3%","129K;4.3%","172K;","K;%",";","3;3","United States;United States","2026-07-02T12:00:00.000Z","2026-07-02T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-02T12-30-00-000Z.csv"
"2026-07-06T14:00:00.000Z","1783346400000","396215","ISM服务业采购经理人指数","ISM Services PMI","54.0","54","54.5","","","","3","United States","2026-07-06T13:30:00.000Z","2026-07-06T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-06T14-00-00-000Z.csv"
"2026-07-08T18:00:00.000Z","1783533600000","390609","联邦公开市场委员会（FOMC）会议纪要","FOMC Minutes","","","","","","","3","United States","2026-07-08T17:30:00.000Z","2026-07-08T19:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-08T18-00-00-000Z.csv"
"2026-07-09T14:00:00.000Z","1783605600000","398097","成屋销售量","Existing Home Sales","4.09M","4.20M","4.19M","4.17M","M","","3","United States","2026-07-09T13:30:00.000Z","2026-07-09T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-09T14-00-00-000Z.csv"
"2026-07-14T12:30:00.000Z","1784032200000","397907;398185;398817;399237","核心通胀率同比；通胀率同比；核心通胀率环比；通胀率环比","Core Inflation Rate YoY;Inflation Rate YoY;Core Inflation Rate MoM;Inflation Rate MoM","2.6%;3.5%;0%;-0.4%","2.8%;3.8%;0.2%;-0.1%","2.9%;4.2%;0.2%;0.5%",";;;","%;%;%;%",";;;","3;3;3;3","United States;United States;United States;United States","2026-07-14T12:00:00.000Z","2026-07-14T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-14T12-30-00-000Z.csv"
"2026-07-14T14:00:00.000Z","1784037600000","420649","美联储主席Warsh作证","Fed Chair Warsh Testimony","","","","","","","3","United States","2026-07-14T13:30:00.000Z","2026-07-14T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-14T14-00-00-000Z.csv"
"2026-07-15T12:30:00.000Z","1784118600000","397915","生产者价格指数环比","PPI MoM","-0.3%","0%","0.6%","1.1%","%","","3","United States","2026-07-15T12:00:00.000Z","2026-07-15T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-15T12-30-00-000Z.csv"
"2026-07-15T14:00:00.000Z","1784124000000","420851","美联储主席Warsh作证","Fed Chair Warsh Testimony","","","","","","","3","United States","2026-07-15T13:30:00.000Z","2026-07-15T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-15T14-00-00-000Z.csv"
"2026-07-16T12:30:00.000Z","1784205000000","399061","零售销售环比","Retail Sales MoM","0.2%","0.2%","1%","0.9%","%","","3","United States","2026-07-16T12:00:00.000Z","2026-07-16T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-16T12-30-00-000Z.csv"
"2026-07-17T12:30:00.000Z","1784291400000","398663;398706","新屋开工数量；建筑许可数量初值","Housing Starts;Building Permits Prel","1.427M;1.367M","1.31M;1.40M","1.199M;1.41M","1.177M;","M;M",";","3;3","United States;United States","2026-07-17T12:00:00.000Z","2026-07-17T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-17T12-30-00-000Z.csv"
"2026-07-17T14:00:00.000Z","1784296800000","396308","密歇根大学消费者信心指数初值","Michigan Consumer Sentiment Prel","54.4","51","49.5","","","","3","United States","2026-07-17T13:30:00.000Z","2026-07-17T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-17T14-00-00-000Z.csv"
"2026-07-27T12:30:00.000Z","1785155400000","397953","耐用品订单环比","Durable Goods Orders MoM","0.3%","2.5%","-4%","-4.5%","%","","3","United States","2026-07-27T12:00:00.000Z","2026-07-27T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-27T12-30-00-000Z.csv"
"2026-07-29T18:00:00.000Z","1785348000000","390603","美联储利率决议","Fed Interest Rate Decision","3.75%","3.75%","3.75%","","%","","3","United States","2026-07-29T17:30:00.000Z","2026-07-29T19:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-29T18-00-00-000Z.csv"
"2026-07-29T18:30:00.000Z","1785349800000","390634","美联储新闻发布会","Fed Press Conference","","","","","","","3","United States","2026-07-29T18:00:00.000Z","2026-07-29T19:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-29T18-30-00-000Z.csv"
"2026-07-30T12:30:00.000Z","1785414600000","398050;398110;398216;398770","GDP增长率季环比（预估值）；个人支出环比；核心个人消费支出（PCE）价格指数环比；个人收入环比","GDP Growth Rate QoQ Adv;Personal Spending MoM;Core PCE Price Index MoM;Personal Income MoM","1.5%;0.3%;0.1%;0.2%","2.1%;0.3%;0.2%;0.3%","2.1%;0.9%;0.3%;0.7%",";0.7%;;","%;%;%;%",";;;","3;3;3;3","United States;United States;United States;United States","2026-07-30T12:00:00.000Z","2026-07-30T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-07-30T12-30-00-000Z.csv"
"2026-08-03T14:00:00.000Z","1785765600000","396435","ISM制造业采购经理人指数","ISM Manufacturing PMI","55.6","54","53.3","","","","3","United States","2026-08-03T13:30:00.000Z","2026-08-03T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-08-03T14-00-00-000Z.csv"
"2026-08-04T14:00:00.000Z","1785852000000","399057","职位空缺与劳动力流动调查（JOLTs）职位空缺数","JOLTs Job Openings","7.359M","7.4M","7.537M","7.594M","M","","3","United States","2026-08-04T13:30:00.000Z","2026-08-04T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-08-04T14-00-00-000Z.csv"
"2026-08-05T14:00:00.000Z","1785938400000","396466","ISM服务业采购经理人指数","ISM Services PMI","54.1","54.5","54.0","","","","3","United States","2026-08-05T13:30:00.000Z","2026-08-05T15:00:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-08-05T14-00-00-000Z.csv"
"2026-08-07T12:30:00.000Z","1786105800000","396495;396499","非农就业人数；失业率","Non Farm Payrolls;Unemployment Rate","-23K;4.1%","80K;4.2%","20K;4.2%","57K;","K;%",";","3;3","United States;United States","2026-08-07T12:00:00.000Z","2026-08-07T13:30:00.000Z","5400","complete","BTCUSDT-spot-1s-event-2026-08-07T12-30-00-000Z.csv"
