calendarId,dateUTC,date,region,category,event,event_zh,importance,actual,forecast,previous,prevInitial,refDate,dateSpan,uTime,ccy,unit
"410939","2026-09-07T08:30:00.000Z","1788769800000","Hong Kong","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","442.90B","","$447.8B","","1788134400000","0","1788769824544","$","B"
"421101","2026-09-07T08:30:00.000Z","1788769800000","United Kingdom","Calendar","Chancellor John Healey Speech","财政大臣John Healey讲话","2","","","","","","0","1788766990480","",""
"403162","2026-09-07T08:00:00.000Z","1788768000000","China","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","3.438T","$3.43T","$3.419T","","1788134400000","1","1788768150207","$","T"
"405459","2026-09-07T08:00:00.000Z","1788768000000","Bulgaria","GDP Growth Rate","GDP Growth Rate QoQ Final","国内生产总值（GDP）增长率季环比终值","1","0.7%","","0.7%","","1782777600000","0","1788768178099","","%"
"408022","2026-09-07T08:00:00.000Z","1788768000000","Egypt","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","$57.22B","","$56.29B","","1788134400000","1","1788766651373","$","B"
"412527","2026-09-07T08:00:00.000Z","1788768000000","Bulgaria","GDP Annual Growth Rate","GDP Growth Rate YoY Final","国内生产总值（GDP）增长率同比终值","1","2.8%","","3.1%","","1782777600000","0","1788768163048","","%"
"406665","2026-09-07T07:00:00.000Z","1788764400000","Switzerland","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","CHF770.07B","","CHF768.14B","CHF768.26B","1788134400000","0","1788764425857","CHF","B"
"408623","2026-09-07T07:00:00.000Z","1788764400000","Austria","Wholesale Prices MoM","Wholesale Prices MoM","批发价格环比","1","0.9%","","0.8%","","1788134400000","0","1788764503077","","%"
"409241","2026-09-07T07:00:00.000Z","1788764400000","Czech Republic","Industrial Production","Industrial Production YoY","工业生产同比","1","3.1%","","3.8%","4%","1785456000000","0","1788764801797","","%"
"409895","2026-09-07T07:00:00.000Z","1788764400000","Seychelles","Inflation Rate","Inflation Rate YoY","通胀率同比","1","","","0.78%","","1788134400000","1","1788764453567","","%"
"410641","2026-09-07T07:00:00.000Z","1788764400000","Czech Republic","Industrial Production Mom","Industrial Production MoM","工业生产环比","1","-1.1%","","1.4%","1.2%","1785456000000","0","1788764861910","","%"
"411564","2026-09-07T07:00:00.000Z","1788764400000","Switzerland","Unemployment Rate","Unemployment Rate","失业率","2","3%","","3%","","1788134400000","0","1788764400603","","%"
"411901","2026-09-07T07:00:00.000Z","1788764400000","Czech Republic","Construction Output","Construction Output YoY","建筑业产出同比","1","1.8%","","0.5%","","1785456000000","0","1788764719517","","%"
"412044","2026-09-07T07:00:00.000Z","1788764400000","Austria","Wholesale Prices YoY","Wholesale Prices YoY","批发价格同比","1","8.2%","","6.9%","","1788134400000","0","1788764517927","","%"
"413074","2026-09-07T07:00:00.000Z","1788764400000","Czech Republic","Balance of Trade","Balance of Trade","贸易差额","1","CZK-8.5B","","CZK13.4B","CZK15.5B","1785456000000","0","1788764674140","CZK","B"
"401698","2026-09-07T06:45:00.000Z","1788763500000","France","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","€380.694B","","€357.050B","","1788134400000","0","1788763555660","€","B"
"408598","2026-09-07T06:30:00.000Z","1788762600000","Hungary","Industrial Production","Industrial Production YoY Prel","工业生产同比初值","1","4.7%","","10.1%","","1785456000000","0","1788762600570","","%"
"399758","2026-09-07T06:00:00.000Z","1788760800000","United Kingdom","House Price Index YoY","Lloyds House Price Index YoY","Lloyds房价指数同比","2","-0.4%","","0.1%","","1788134400000","0","1788760863053","","%"
"399925","2026-09-07T06:00:00.000Z","1788760800000","United Kingdom","House Price Index MoM","Lloyds House Price Index MoM","Lloyds房价指数环比","2","-0.2%","0.2%","-0.1%","0%","1788134400000","0","1788760879400","","%"
"400922","2026-09-07T06:00:00.000Z","1788760800000","Germany","Industrial Production Mom","Industrial Production MoM","工业生产环比","2","-1.1%","0.1%","0.0%","0.2%","1785456000000","0","1788765409273","","%"
"403875","2026-09-07T06:00:00.000Z","1788760800000","Romania","GDP Growth Rate","GDP Growth Rate QoQ 2nd Est","国内生产总值（GDP）增长率季环比第二次估值","1","0.0%","","-0.1%","","1782777600000","0","1788760897623","","%"
"405077","2026-09-07T06:00:00.000Z","1788760800000","Sweden","Inflation Rate MoM","Inflation Rate MoM Prel","通胀率环比初值","1","-0.3%","","-0.3%","","1788134400000","0","1788760834373","","%"
"405102","2026-09-07T06:00:00.000Z","1788760800000","South Africa","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","$75.95B","","$73.45B","","1788134400000","0","1788760804513","$","B"
"408753","2026-09-07T06:00:00.000Z","1788760800000","Romania","GDP Annual Growth Rate","GDP Growth Rate YoY 2nd Est","国内生产总值（GDP）增长率同比第二次估值","1","-0.4%","-0.4%","-1.2%","","1782777600000","0","1788760881633","","%"
"408896","2026-09-07T06:00:00.000Z","1788760800000","Sweden","Inflation Rate","Inflation Rate YoY Prel","通胀率同比初值","1","0.3%","0.6%","0.2%","","1788134400000","0","1788760857370","","%"
"410102","2026-09-07T06:00:00.000Z","1788760800000","Sweden","CPI with fixed interest rate YoY","CPIF YoY Prel","固定利率消费者价格指数（CPIF）同比初值","1","0.7%","0.8%","0.7%","","1788134400000","0","1788760854293","","%"
"410716","2026-09-07T06:00:00.000Z","1788760800000","Sweden","CPI with fixed interest rate MoM","CPIF MoM Prel","固定利率消费者价格指数（CPIF）环比初值","1","-0.3%","","-0.3%","","1788134400000","0","1788760861973","","%"
"411439","2026-09-07T06:00:00.000Z","1788760800000","Norway","Manufacturing Production MoM","Manufacturing Production MoM","制造业生产环比","1","0.7%","","-1%","","1785456000000","0","1788760804223","","%"
"402797","2026-09-07T05:00:00.000Z","1788757200000","Japan","Coincident Index","Coincident Index Prel","同步指数初值","1","120.6","","118.9","","1785456000000","0","1788758644083","",""
"403085","2026-09-07T05:00:00.000Z","1788757200000","Japan","Leading Economic Index","Leading Economic Index Prel","经济领先指数初值","1","117.9","118.1","116.2","116.5","1785456000000","0","1788757283620","",""
"405770","2026-09-07T05:00:00.000Z","1788757200000","Estonia","Inflation Rate Mom","Inflation Rate MoM","通胀率环比","1","0.4%","","0.5%","","1788134400000","0","1788757243730","","%"
"408752","2026-09-07T05:00:00.000Z","1788757200000","Estonia","Inflation Rate","Inflation Rate YoY","通胀率同比","1","1.5%","","2.2%","","1788134400000","0","1788757284307","","%"
"409682","2026-09-07T05:00:00.000Z","1788757200000","Singapore","Retail Sales YoY","Retail Sales YoY","零售销售同比","1","1.5%","","4%","","1785456000000","0","1788757201867","","%"
"414890","2026-09-07T05:00:00.000Z","1788757200000","Singapore","Retail Sales MoM","Retail Sales MoM","零售销售环比","1","0.9%","","0.9%","1%","1785456000000","0","1788757201870","","%"
"404768","2026-09-07T03:30:00.000Z","1788751800000","Thailand","Core Inflation Rate","Core Inflation Rate YoY","核心通胀率同比","1","1.44%","1.33%","1.34%","","1788134400000","0","1788752079233","","%"
"414318","2026-09-07T03:30:00.000Z","1788751800000","Thailand","Inflation Rate","Inflation Rate YoY","通胀率同比","1","2.53%","2.2%","1.95%","","1788134400000","0","1788752730230","","%"
"404135","2026-09-07T03:00:00.000Z","1788750000000","Jordan","Unemployment Rate","Unemployment Rate","失业率","1","","","","","1782777600000","1","1765875427773","",""
"409785","2026-09-07T03:00:00.000Z","1788750000000","Indonesia","Foreign Exchange Reserves","Foreign Exchange Reserves","外汇储备","1","$146.5B","","$145.3B","","1788134400000","0","1788750068327","$","B"
"417781","2026-09-07T02:30:00.000Z","1788748200000","South Korea","3 Year Note Yield","3-Year KTB Auction","3年期韩国国债（KTB）拍卖","1","3.875%","","3.780%","","","0","1788748249757","","%"
"403091","2026-09-07T01:30:00.000Z","1788744600000","Australia","Job Advertisements","ANZ-Indeed Job Ads MoM","ANZ-Indeed招聘广告数量环比","1","2.5%","","1.9%","0.8%","1788134400000","0","1788744872067","","%"
