"calendarId","dateUTC","date","region","category","event","event_zh","importance","actual","forecast","previous","prevInitial","refDate","dateSpan","uTime","ccy","unit"
"396731","2026-09-04T12:30:00.000Z","1788525000000","United States","Non Farm Payrolls","Non Farm Payrolls","非农就业人数","3","162K","56K","21K","-23K","1788134400000","0","1788525003067","","K"
"396733","2026-09-04T12:30:00.000Z","1788525000000","United States","Unemployment Rate","Unemployment Rate","失业率","3","4.1%","4.1%","4.1%","","1788134400000","0","1788525003447","","%"
"396719","2026-09-03T14:00:00.000Z","1788444000000","United States","Non Manufacturing PMI","ISM Services PMI","ISM服务业采购经理人指数","3","55.4","54.3","54.1","","1788134400000","0","1788444000580","",""
"396677","2026-09-01T14:00:00.000Z","1788271200000","United States","Business Confidence","ISM Manufacturing PMI","ISM制造业采购经理人指数","3","54.6","55.2","55.6","","1788134400000","0","1788271200860","",""
"397904","2026-09-01T14:00:00.000Z","1788271200000","United States","Job Offers","JOLTs Job Openings","职位空缺与劳动力流动调查（JOLTs）职位空缺数","3","7.271M","7.3M","7.182M","7.359M","1785456000000","0","1788271203133","","M"
"420972","2026-08-28T14:00:00.000Z","1787925600000","United States","Non Farm Payrolls","Non Farm Payrolls Annual Revision Prel","非农就业人数年度修正初值","3","-79K","","-911K","","","0","1787925640660","","K"
"421027","2026-08-28T14:00:00.000Z","1787925600000","United States","Interest Rate","Fed Chair Warsh Speech","美联储主席Warsh讲话","3","","","","","","0","1787326378280","",""
"397987","2026-08-26T12:30:00.000Z","1787747400000","United States","Personal Spending","Personal Spending MoM","个人支出环比","3","0.2%","0.1%","0.3%","","1785456000000","0","1787747408597","","%"
"398577","2026-08-26T12:30:00.000Z","1787747400000","United States","Personal Income","Personal Income MoM","个人收入环比","3","0.4%","0.2%","0.2%","","1785456000000","0","1787747408440","","%"
"398984","2026-08-26T12:30:00.000Z","1787747400000","United States","Durable Goods Orders","Durable Goods Orders MoM","耐用品订单环比","3","1.1%","0.5%","0.5%","0.3%","1785456000000","0","1787747658323","","%"
